,What a beautiful bass!,ياله من إيقاعِ جميل!,ياله من صوت باس جميل!,
,What a beautiful bass!,يالها من سمكةِ قاروصِ جميلة.,يالها من سمكة قاروسِ جميلة.,
,A biker on the road.,سائق دراجة نارية على الطريق.,,
,A biker on the road.,سائق دراجة هوائية على الطريق.,,
,That's lots of bucks!,هذهِ أيائل كثيرة.,,
,That's lots of bucks!,هذهِ دولارات كثيرة.,هذه نقود كثيرة.,
,A person looking at a rock.,شخص يشاهد صخرة,,
,A person looking at a rock.,شخص ينظر إلى صخرة.,,
,The lamp is tall and elegant.,المصباح طويل وأنيق.,,
,The lamp is tall and elegant.,المصباح طويل وعالي.,,
,Give me the file please.,أعطني الملف رجاءاً.,,
,Give me the file please.,أعطني المِبرد رجاءاَ.,,
,The tube looks dirty!,سكة المواصلات تبدو قذرة.,,
,The tube looks dirty!,الأُنبوب يبدو قذراً.,,
,An animal sitting in a palm.,حيوان جالس على نخلة.,,
,An animal sitting in a palm.,حيوان في راحة اليد.,,
,Show me the ring!,أريني الخاتم!,دعني أرى الخاتم!,
,Show me the ring!,أريني الحلبة!,دعني أرى الحلبة!,أريني حلبة المُصارعة!
,A man with a hat is smoking.,رجلٌ بقبعة يُدخن.,,
,A man with a hat is smoking.,رجل بقبعة يُدخن.,,
,A group of boys playing football.,مجموعة من الأولاد يلعبون كرة القدم الأمريكية.,,
,A group of boys playing football.,مجموعة من الأولاد يلعبون كرة القدم.,,
,Get away from the float!,إبتعد عن العوّامة!,إبتعد عن الطفو!,
,Get away from the float!,إبتعد عن المنصة العائمة!,إبتعد عن المنصة المُتحركة!,إبتعد عن المنصة السيارة!
,A woman is folding sheets.,إمرأة تثني الأوراق.,إمرأة تطوي الأوراق.,
,A woman is folding sheets.,إمرأة تطوي الشراشف.,إمرأة تُرتب الشراشف.,
,A boy using a compass.,فتى يستخدم البوصلة.,,
,A boy using a compass.,فتى يستخدم الفرجار.,,
,Could you fix the sink please?,هل يُمكِنك إصلاح حوض الصحون لو سمحت؟,,
,Could you fix the sink please?,هل يُمكِنك إصلاح المِغسلة لو سمحت؟,,
,Look at the balloon!,أنظر إلى المِنطاد!,,
,Look at the balloon!,أنظر إلى البالون!,,
,He seems to be enjoying the date!,يبدو أنه مُستمتع بالمواعدة!,,
,He seems to be enjoying the date!,يبدو أن التمر قد أعجبه!,,
,Don't eat the bones!,لا تأكل العِظام!,,
,Don't eat the bones!,لا تأكل العِظام!,,
